Country Name,HDI,Gender Inequality Index,GDP per Capita,Population,Natural Increase Rate,Life Expectancy,Percentage in the Tertiary,Physiological Density,Latitude,Longitude
Slovakia,0.86,0.089,19572,5500000,0,77.2,67,111,48.669026,19.699024
Slovenia,0.917,0.051,25016,2100000,0,81.2,75,102,46.151241,14.995463
Solomon Islands,0.544,0.522,2040,700000,1.5,73.3,12,26,-9.64571,160.156194
Somalia,0.285,0.735,482,17000000,3.6,56,4,25,5.152149,46.199616
South Africa,0.705,0.536,6172,60000000,1.1,64.1,26,46,-30.559482,22.937506
South Korea,0.916,0.101,34343,52000000,0.2,83.3,63,527,35.907757,127.766922
South Sudan,0.433,0.748,1387,12000000,3.4,57.3,7,18,6.877,31.307
Spain,0.904,0.07,29981,47000000,0.1,83.4,66,93,40.463667,-3.74922
Sri Lanka,0.782,0.367,3855,23000000,0.3,77.4,44,353,7.873054,80.771797
Sudan,0.51,0.684,478,46000000,2.7,65.1,7,23,12.862807,30.217636
Suriname,0.715,0.388,5786,600000,0.4,72.2,42,3,3.919305,-56.027783
Sweden,0.945,0.041,59419,10300000,0.3,82.8,79,25,60.128161,18.643501
Switzerland,0.962,0.041,86186,8600000,0.6,83.6,70,206,46.818188,8.227512
Syria,0.536,0.583,2862,17000000,2.5,71,15,101,34.802075,38.996815
Taiwan,0.916,0.085,30282,23000000,0,80.9,74,673,23.69781,120.960515
Tajikistan,0.668,0.505,1037,9600000,2.1,70.2,23,72,38.861034,71.276093
Tanzania,0.529,0.567,1094,62000000,2.9,65,18,70,-6.369028,34.888822
Thailand,0.765,0.371,7036,70000000,0.2,77.5,50,134,15.870032,100.992541
Timor-Leste,0.626,0.547,1625,1300000,1.8,70,18,87,-8.874217,125.727539
Togo,0.513,0.615,706,9000000,2.6,60,12,138,8.619543,0.824782
Tonga,0.717,0.301,4575,110000,0.4,73.4,42,147,-21.178986,-175.198242
Trinidad and Tobago,0.784,0.308,15701,1400000,0.1,73.4,51,270,10.691803,-61.222503
Tunisia,0.739,0.419,11121,12000000,0.9,76.2,42,67,33.886917,9.537499
Turkey,0.838,0.363,9294,86000000,1.2,77.4,47,105,38.963745,35.243322
Turkmenistan,0.719,0.366,7113,6100000,1.3,68.6,40,19,38.969719,59.556278
Tuvalu,0.714,0.333,4131,11000,0.3,68,37,333,-7.109535,177.64933
Uganda,0.528,0.584,794,46000000,3.3,63.4,14,183,1.373333,32.290275
Ukraine,0.779,0.167,3683,42000000,-0.8,71.6,58,73,48.379433,31.16558
United Arab Emirates,0.89,0.238,43413,9600000,1.3,77,51,118,23.424076,53.847818
United Kingdom,0.932,0.067,42330,67000000,0.5,81.3,59,273,55.378051,-3.435973
United States,0.921,0.204,67806,331000000,0.6,78.9,67,36,37.09024,-95.712891
Uruguay,0.817,0.296,17400,3500000,0.1,77.6,61,20,-32.522779,-55.765835
Uzbekistan,0.72,0.361,1916,35000000,1.3,72.2,38,79,41.377491,64.585262
Vanuatu,0.635,0.432,3389,300000,1.4,72.7,27,23,-15.376706,166.959158
Vatican City,0.985,0.01,NA,800,0,82.8,NA,NA,41.902916,12.453389
Venezuela,0.711,0.431,4948,29000000,1.1,72.1,36,68,6.42375,-66.58973
Vietnam,0.704,0.375,3276,97000000,0.6,75.4,45,304,14.058324,108.277199
Yemen,0.463,0.672,932,30000000,2.3,66.1,14,44,15.552727,48.516388
Zambia,0.584,0.582,1415,18000000,2.7,63.5,17,89,-13.133897,27.849332
Zimbabwe,0.571,0.556,1460,15000000,1.4,61.2,17,39,-19.015438,29.154857

